/Clk (d_del=4.225641e-10) X,/Clk (d_del=4.225641e-10) Y,/Clk (d_del=4.312821e-10) X,/Clk (d_del=4.312821e-10) Y,/D (d_del=4.225641e-10) X,/D (d_del=4.225641e-10) Y,/D (d_del=4.312821e-10) X,/D (d_del=4.312821e-10) Y,/Q (d_del=4.225641e-10) X,/Q (d_del=4.225641e-10) Y,/Q (d_del=4.312821e-10) X,/Q (d_del=4.312821e-10) Y
5.902077850956647e-10,0,5.902077417819972e-10,0,5.902077850956647e-10,0,5.902077417819972e-10,0,5.902077850956647e-10,-0.0004432747637458993,5.902077417819972e-10,-0.0004432732613740067
5.946077569634688e-10,0,5.946077750728731e-10,0,5.946077569634688e-10,0,5.946077750728731e-10,0,5.946077569634688e-10,-0.0004921100959669248,5.946077750728731e-10,-0.0004921102644425461
5.978819006120015e-10,0,5.978819170668177e-10,0,5.978819006120015e-10,0,5.978819170668177e-10,0,5.978819006120015e-10,-0.0004322271953539318,5.978819170668177e-10,-0.0004322270572871826
6.018498197682183e-10,0,6.018498369379562e-10,0,6.018498197682183e-10,0,6.018498369379562e-10,0,6.018498197682183e-10,-0.0003315311927672284,6.018498369379562e-10,-0.0003315308194802799
6.067853937944964e-10,0,6.067854029598551e-10,0,6.067853937944964e-10,0,6.067854029598551e-10,0,6.067853937944964e-10,-0.0002139478647391126,6.067854029598551e-10,-0.0002139477396346096
6.131749277100545e-10,0,6.131749423730013e-10,0,6.131749277100545e-10,0,6.131749423730013e-10,0,6.131749277100545e-10,-0.0001076247868327438,6.131749423730013e-10,-0.0001076245724974165
6.21658553821033e-10,0,6.216585765074438e-10,0,6.21658553821033e-10,0,6.216585765074438e-10,0,6.21658553821033e-10,-3.693097262294797e-05,6.216585765074438e-10,-3.693088957622091e-05
6.331853621860235e-10,0,6.331854020313247e-10,0,6.331853621860235e-10,0,6.331854020313247e-10,0,6.331853621860235e-10,-6.256822960584819e-06,6.331854020313247e-10,-6.256739400167344e-06
6.501338698242082e-10,0,6.501339238896374e-10,0,6.501338698242082e-10,0,6.501339238896374e-10,0,6.501338698242082e-10,-2.482364480756846e-07,6.501339238896374e-10,-2.482718727464426e-07
6.77505974218678e-10,0,6.775060738580271e-10,0,6.77505974218678e-10,0,6.775060738580271e-10,0,6.77505974218678e-10,-2.343384143809017e-07,6.775060738580271e-10,-2.343030311357449e-07
